Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1212696  Y 1268566
X 1196948  Y 1268566
X 1204822  Y 1273685
X 1212696  Y 1274078
X 1196948  Y 1274078
X 1204822  Y 1279196
X 1212696  Y 1279590
X 1196948  Y 1279590
Drill: .02  Tool: 3  Feed: 197  Speed: 550
X 1048000  Y 1075000
X 1036500  Y 1075500
X 1036500  Y 1084500
X 1036525  Y 1096331
X 1031525  Y 1096331
X 1031525  Y 1106331
X 1036525  Y 1106331
X 1039000  Y 1190500
X 1031000  Y 1190500
X 1032500  Y 1269000
X 1032500  Y 1278500
X 1042200  Y 1342100
X 1056000  Y 1344500
X 1045000  Y 1345500
X 1088000  Y 1403500
X 1099500  Y 1403500
X 1088000  Y 1397500
X 1099500  Y 1397500
X 1103400  Y 1331000
X 1114700  Y 1331000
X 1090900  Y 1331000
X 1103500  Y 1325000
X 1091000  Y 1325000
X 1114500  Y 1325000
X 1148000  Y 1053500
X 1148000  Y 1061500
X 1148000  Y 1069500
X 1148000  Y 1076500
X 1139821  Y 1096927
X 1134821  Y 1096927
X 1139821  Y 1106927
X 1134821  Y 1106927
X 1126500  Y 1325000
X 1154500  Y 1325000
X 1141000  Y 1325000
X 1166000  Y 1325000
X 1126700  Y 1331000
X 1154600  Y 1331000
X 1166000  Y 1331000
X 1141100  Y 1331000
X 1135000  Y 1393500
X 1164500  Y 1397000
X 1142500  Y 1399500
X 1135000  Y 1399500
X 1164500  Y 1403000
X 1177500  Y 1403000
X 1177500  Y 1397000
X 1220400  Y 1395000
X 1228300  Y 1387200
X 1234200  Y 1384700
X 1179000  Y 1331000
X 1179000  Y 1325000
Drill: .03937  Tool: 4  Feed: 197  Speed: 550
X 1022500  Y 1050866
X 1022500  Y 1060866
X 1022500  Y 1070866
X 1022500  Y 1354016
X 1022500  Y 1364016
X 1022500  Y 1374016
X 1245000  Y 1374016
X 1245000  Y 1364016
X 1245000  Y 1354016
X 1245000  Y 1070866
X 1245000  Y 1060866
X 1245000  Y 1050866
Drill: .04  Tool: 5  Feed: 139  Speed: 550
X 1063857  Y 1011826
X 1073857  Y 1011826
X 1083857  Y 1011826
X 1093857  Y 1011826
X 1073857  Y 1021826
X 1083857  Y 1021826
X 1063857  Y 1021826
X 1093857  Y 1021826
X 1073857  Y 1436173
X 1083857  Y 1436173
X 1063857  Y 1436173
X 1093857  Y 1436173
X 1063857  Y 1446173
