RefDes     X          Y          Rot.       Exact     (FREE)    Side
C77        4295.0026  2665.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C78        4110.0026  1515.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C79        4295.0026  2065.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C80        2508.0026  2412.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C81        2509.0026  1878.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C82        4110.0026  1465.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C83        3165.0026  1355.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C84        3385.0026  280.0002   270        EXACT     (FREE)    L1_TOP_SIDE                   
C85        4295.0026  1515.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C86        3420.0026  905.0002   000        EXACT     (FREE)    L1_TOP_SIDE                   
C87        3510.0026  905.0002   180        EXACT     (FREE)    L1_TOP_SIDE                   
C88        3890.0026  1875.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C89        3890.0026  2020.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C90        3890.0026  2180.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C91        3890.0026  2320.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C92        2066.0026  2331.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C93        3890.0026  2795.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C94        3890.0026  2940.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C95        2568.0026  2343.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C96        2160.0026  2312.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C97        3890.0026  2940.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C98        2311.0026  2284.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C99        1820.3026  2130.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
