RefDes     X          Y          Rot.       Exact     (FREE)    Side
C91        9750.0000  430.0000   270        EXACT     (FREE)    Bottom                        
C92        10010.0000 430.0000   270        EXACT     (FREE)    Bottom                        
C93        6000.0000  5400.0000  000        EXACT     (FREE)    Bottom                        
C94        6380.0000  5400.0000  000        EXACT     (FREE)    Top                           
C95        6740.0000  5190.0000  000        EXACT     (FREE)    Top                           
C96        6360.0000  5190.0000  000        EXACT     (FREE)    Bottom                        
C97        6360.0000  4830.0000  000        EXACT     (FREE)    Bottom                        
C98        6740.0000  4830.0000  000        EXACT     (FREE)    Top                           
C99        6740.0000  4440.0000  000        EXACT     (FREE)    Top                           
C100       6360.0000  4440.0000  000        EXACT     (FREE)    Bottom                        
C101       6360.0000  4060.0000  000        EXACT     (FREE)    Bottom                        
C102       6740.0000  4060.0000  000        EXACT     (FREE)    Top                           
C103       6550.0000  3620.0000  000        EXACT     (FREE)    Top                           
C104       6170.0000  3620.0000  000        EXACT     (FREE)    Bottom                        
C105       4430.0000  4920.0000  180        EXACT     (FREE)    Top                           
C106       3550.0000  2070.0000  180        EXACT     (FREE)    Top                           
C107       3320.0000  2240.0000  270        EXACT     (FREE)    Top                           
C108       5046.0000  706.0000   090        EXACT     (FREE)    Bottom                        
C109       5080.0000  350.0000   000        EXACT     (FREE)    Top                           
C110       5460.0000  360.0000   000        EXACT     (FREE)    Top                           
C111       5420.0000  710.0000   090        EXACT     (FREE)    Bottom                        
C112       3348.0000  5126.0000  090        EXACT     (FREE)    Top                           
C113       3178.0000  4936.0000  000        EXACT     (FREE)    Top                           
C117       5860.0000  2220.0000  000        EXACT     (FREE)    Top                           
C118       5440.0000  2220.0000  000        EXACT     (FREE)    Bottom                        
C119       5440.0000  1850.0000  000        EXACT     (FREE)    Bottom                        
C120       5860.0000  1850.0000  000        EXACT     (FREE)    Top                           
C121       5860.0000  1480.0000  000        EXACT     (FREE)    Top                           
C122       5440.0000  1480.0000  000        EXACT     (FREE)    Bottom                        
C123       5440.0000  1110.0000  000        EXACT     (FREE)    Bottom                        
C124       5860.0000  1110.0000  000        EXACT     (FREE)    Top                           
C125       4670.0000  810.0000   000        EXACT     (FREE)    Top                           
C126       4330.0000  810.0000   180        EXACT     (FREE)    Top                           
C127       4450.0000  1640.0000  090        EXACT     (FREE)    Bottom                        
C128       4600.0000  1550.0000  090        EXACT     (FREE)    Bottom                        
C129       4840.0000  1490.0000  180        EXACT     (FREE)    Bottom                        
C130       4840.0000  1600.0000  180        EXACT     (FREE)    Bottom                        
C131       4820.0000  1700.0000  180        EXACT     (FREE)    Bottom                        
C132       4540.0000  1280.0000  180        EXACT     (FREE)    Bottom                        
C133       4540.0000  1180.0000  180        EXACT     (FREE)    Bottom                        
C134       4550.0000  1080.0000  180        EXACT     (FREE)    Bottom                        
C135       3990.0000  1310.0000  180        EXACT     (FREE)    Bottom                        
C136       3850.0000  1680.0000  180        EXACT     (FREE)    Top                           
C137       3925.0000  2150.0000  180        EXACT     (FREE)    Top                           
C138       3790.0000  1310.0000  000        EXACT     (FREE)    Bottom                        
C139       3810.0000  1430.0000  000        EXACT     (FREE)    Bottom                        
C140       4100.0000  850.0000   180        EXACT     (FREE)    Top                           
C141       4250.0000  1995.0000  180        EXACT     (FREE)    Bottom                        
C142       3790.0000  1530.0000  000        EXACT     (FREE)    Bottom                        
C143       4330.0000  2140.0000  000        EXACT     (FREE)    Bottom                        
C144       5275.0000  900.0000   270        EXACT     (FREE)    Top                           
C145       5100.0000  1130.0000  000        EXACT     (FREE)    Bottom                        
C146       5080.0000  1350.0000  000        EXACT     (FREE)    Bottom                        
C147       5220.0000  910.0000   000        EXACT     (FREE)    Bottom                        
C148       5080.0000  1530.0000  000        EXACT     (FREE)    Bottom                        
C149       5070.0000  1750.0000  000        EXACT     (FREE)    Bottom                        
C150       5070.0000  2000.0000  000        EXACT     (FREE)    Bottom                        
C151       5090.0000  2285.0000  090        EXACT     (FREE)    Bottom                        
C152       5000.0000  2285.0000  090        EXACT     (FREE)    Bottom                        
C153       4890.0000  2150.0000  180        EXACT     (FREE)    Bottom                        
C154       5240.0000  2220.0000  000        EXACT     (FREE)    Bottom                        
C155       4690.0000  2010.0000  270        EXACT     (FREE)    Bottom                        
C156       4780.0000  2010.0000  270        EXACT     (FREE)    Bottom                        
C157       4600.0000  2010.0000  270        EXACT     (FREE)    Bottom                        
C158       5025.0000  960.0000   180        EXACT     (FREE)    Bottom                        
C159       5210.0000  2120.0000  000        EXACT     (FREE)    Bottom                        
C160       4610.0000  970.0000   000        EXACT     (FREE)    Bottom                        
C161       4960.0000  1180.0000  090        EXACT     (FREE)    Bottom                        
C162       4610.0000  880.0000   000        EXACT     (FREE)    Bottom                        
C163       4710.0000  1080.0000  000        EXACT     (FREE)    Bottom                        
C164       4860.0000  1110.0000  090        EXACT     (FREE)    Bottom                        
D1         10705.0000 5445.0000  000        EXACT     (FREE)    Bottom                        
D2         10420.0000 1330.0000  090        EXACT     (FREE)    Bottom                        
D3         175.0000   2620.0000  090        EXACT     (FREE)    Top                           
D4         175.0000   4830.0000  090        EXACT     (FREE)    Top                           
D5         175.0000   4660.0000  090        EXACT     (FREE)    Top                           
D6         175.0000   4490.0000  090        EXACT     (FREE)    Top                           
D7         175.0000   4320.0000  090        EXACT     (FREE)    Top                           
D8         175.0000   4150.0000  090        EXACT     (FREE)    Top                           
D9         175.0000   3300.0000  090        EXACT     (FREE)    Top                           
D10        175.0000   3470.0000  090        EXACT     (FREE)    Top                           
D11        175.0000   3640.0000  090        EXACT     (FREE)    Top                           
D12        175.0000   3810.0000  090        EXACT     (FREE)    Top                           
D13        175.0000   3980.0000  090        EXACT     (FREE)    Top                           
D14        4600.0000  4880.0000  090        EXACT     (FREE)    Top                           
D15        3730.0000  2040.0000  090        EXACT     (FREE)    Top                           
D16        920.0000   1470.0000  270        EXACT     (FREE)    Top                           
D17        4800.0000  5380.0000  270        EXACT     (FREE)    Top                           
D18        3890.0000  2620.0000  270        EXACT     (FREE)    Top                           
D19        920.0000   1660.0000  270        EXACT     (FREE)    Top                           
D20        950.0000   790.0000   270        EXACT     (FREE)    Top                           
