Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1184922  Y 1093711
X 1184922  Y 1097648
X 1184922  Y 1085837
X 1184922  Y 1105522
X 1184922  Y 1101585
X 1184922  Y 1089774
X 1188859  Y 1105522
X 1188859  Y 1093711
X 1188859  Y 1089774
X 1188859  Y 1097648
X 1188859  Y 1085837
X 1188859  Y 1101585
X 1192796  Y 1101585
X 1192796  Y 1097648
X 1192856  Y 1105522
X 1199040  Y 1093820
X 1200590  Y 1105470
X 1207000  Y 1093750
X 1219790  Y 1099970
X 1237500  Y 1095780
X 1246010  Y 1084120
X 1246291  Y 1092173
X 1257073  Y 1091537
X 1257690  Y 1100390
X 1259000  Y 1094160
X 1259041  Y 1081391
X 1260380  Y 1091770
X 1260800  Y 1096400
X 1262980  Y 1081390
X 1263520  Y 1097970
X 1264947  Y 1091537
X 1266915  Y 1081391
X 1268954  Y 1091537
X 1270852  Y 1081391
X 1271680  Y 1091440
X 1273450  Y 1095630
X 1274789  Y 1081391
X 1276570  Y 1095270
X 1276758  Y 1091537
X 1278800  Y 1081540
X 1279610  Y 1095860
X 1287530  Y 1081850
X 1289560  Y 1083820
X 1289700  Y 1097130
X 1289740  Y 1101090
X 1291550  Y 1081710
X 1293220  Y 1096200
X 1294470  Y 1081950
X 1296630  Y 1095879
X 1297780  Y 1082360
X 1306100  Y 1094180
X 1311100  Y 1094360
X 1320520  Y 1099070
X 1329300  Y 1094040
X 1339300  Y 1093190
X 1344240  Y 1102030
X 1358000  Y 1093430
X 1378210  Y 1090400
X 1384150  Y 1104300
X 1393990  Y 1098240
X 1402400  Y 1103360
X 1431720  Y 1102980
X 1434660  Y 1091560
X 1450830  Y 1101440
X 1474780  Y 1086510
X 1477540  Y 1087510
X 1483430  Y 1096340
X 1489230  Y 1099590
X 1496460  Y 1087590
X 1498670  Y 1097500
X 1506600  Y 1081900
X 1507900  Y 1101800
X 1507910  Y 1097500
X 1518970  Y 1099600
X 1520500  Y 1081630
X 1524500  Y 1087130
X 1524500  Y 1090630
X 1530550  Y 1096830
X 1540140  Y 1097730
X 1545030  Y 1105500
X 1562200  Y 1105000
X 1562200  Y 1102200
X 1566685  Y 1081738
X 1539530  Y 1123900
X 1532750  Y 1128910
X 1530610  Y 1123210
X 1523980  Y 1109280
X 1512530  Y 1120500
X 1500220  Y 1107140
X 1491020  Y 1130390
X 1487410  Y 1125780
X 1478710  Y 1117220
X 1476540  Y 1106410
X 1470730  Y 1129480
X 1467510  Y 1123480
X 1464040  Y 1128780
X 1460340  Y 1123420
X 1456380  Y 1115220
X 1453770  Y 1113220
X 1440930  Y 1108460
X 1436650  Y 1108200
X 1432150  Y 1124840
X 1428180  Y 1114930
X 1427790  Y 1110610
X 1425540  Y 1114300
X 1422280  Y 1114970
X 1416410  Y 1113280
X 1412520  Y 1130289
X 1402970  Y 1112890
X 1397230  Y 1112050
X 1395710  Y 1129449
X 1393080  Y 1130359
X 1387400  Y 1129800
X 1371700  Y 1128330
X 1370180  Y 1114780
X 1368960  Y 1107070
X 1367470  Y 1113820
X 1364700  Y 1106980
X 1363520  Y 1112870
X 1360820  Y 1129709
X 1357590  Y 1130299
X 1356250  Y 1113390
X 1340390  Y 1113440
X 1334300  Y 1115020
X 1331200  Y 1114900
X 1327390  Y 1130319
X 1309070  Y 1114860
X 1296090  Y 1114599
X 1293150  Y 1114620
X 1289850  Y 1114520
X 1278900  Y 1113130
X 1273010  Y 1126110
X 1272820  Y 1114630
X 1270770  Y 1129260
X 1270250  Y 1126050
X 1263690  Y 1114320
X 1261100  Y 1114700
X 1258700  Y 1112500
X 1257100  Y 1114600
X 1256500  Y 1129200
X 1246700  Y 1116030
X 1245940  Y 1113040
X 1245590  Y 1107110
X 1245080  Y 1110150
X 1243020  Y 1128959
X 1237870  Y 1107970
X 1232000  Y 1128500
X 1229800  Y 1126849
X 1228390  Y 1111560
X 1227970  Y 1128849
X 1219880  Y 1128819
X 1218600  Y 1107000
X 1215050  Y 1129449
X 1212400  Y 1119900
X 1210050  Y 1115570
X 1207290  Y 1128239
X 1192796  Y 1113396
X 1188859  Y 1109459
X 1184922  Y 1113396
X 1184922  Y 1109459
X 1180985  Y 1109459
X 1180985  Y 1113396
X 1177048  Y 1109459
X 1177048  Y 1113396
X 1173111  Y 1109459
X 1173111  Y 1113396
X 1169174  Y 1109459
X 1165237  Y 1109459
X 1145510  Y 1119369
X 1139600  Y 1114000
X 1135000  Y 1126000
X 1133740  Y 1109459
X 1133000  Y 1121000
X 1131000  Y 1123000
X 1130300  Y 1113400
X 1060000  Y 1112300
X 1093650  Y 1136460
X 1125890  Y 1133889
X 1132500  Y 1133179
X 1137500  Y 1134509
X 1147500  Y 1134679
X 1150520  Y 1131729
X 1159570  Y 1131809
X 1195360  Y 1134940
X 1205480  Y 1135450
X 1207140  Y 1132349
X 1214650  Y 1132559
X 1219880  Y 1132559
X 1231540  Y 1136780
X 1245710  Y 1132659
X 1253010  Y 1132840
X 1265183  Y 1134443
X 1302500  Y 1133969
X 1307500  Y 1133909
X 1327400  Y 1133900
X 1332400  Y 1133800
X 1340930  Y 1133339
X 1352520  Y 1133799
X 1365460  Y 1131749
X 1390000  Y 1133169
X 1395000  Y 1132639
X 1402840  Y 1131879
X 1417500  Y 1131700
X 1437500  Y 1133900
X 1438900  Y 1131700
X 1441300  Y 1133500
X 1445000  Y 1134700
X 1450570  Y 1146249
X 1477590  Y 1141050
X 1486030  Y 1154940
X 1486090  Y 1135770
X 1491690  Y 1141580
X 1523510  Y 1143940
X 1524420  Y 1154510
X 1536370  Y 1154420
X 1539130  Y 1150530
X 1569200  Y 1169000
X 1569200  Y 1171800
X 1562730  Y 1178050
X 1515800  Y 1180400
X 1512790  Y 1162030
X 1504650  Y 1173490
