RefDes     X          Y          Rot.       Exact     (FREE)    Side
C75        1450.0000  4630.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C76        1625.0000  4700.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C77        1325.0000  5075.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C78        800.0000   4925.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C79        1625.0000  4625.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C80        1325.0000  4950.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C81        1075.0000  4800.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C82        1075.0000  4625.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C83        1325.0000  4630.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C84        4325.0000  3650.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C85        950.0000   4750.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C86        2000.0000  4625.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C87        1875.0000  5075.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C88        2650.0000  4750.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C89        1875.0000  4625.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C90        2180.0000  4695.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C91        2600.0000  4625.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C92        2775.0000  4710.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C93        2295.0000  5055.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C94        1875.0000  4950.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C95        2775.0000  4640.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C96        2295.0000  4935.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C97        1950.0000  2600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C98        2200.0000  4600.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C99        2475.0000  4625.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C100       675.0000   525.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C101       2075.0000  4725.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C102       800.0000   525.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C103       4850.0000  2100.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C104       3475.0000  450.0000   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C105       3475.0000  585.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C106       975.0000   900.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C107       1025.0000  2600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C108       925.0000   2600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C109       1285.0000  2130.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C110       700.0000   2575.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C111       1275.0000  2375.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C112       1525.0000  3000.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C113       1350.0000  2825.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C114       1125.0000  2575.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C115       1475.0000  2575.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C116       4850.0000  2000.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C117       4575.0000  2025.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C118       825.0000   2950.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C119       920.0000   2950.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C120       4375.0000  2025.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C121       1700.0000  2625.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C122       1800.0000  2625.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C123       2425.0000  2440.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C124       3125.0000  2440.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C125       2050.0000  2850.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C126       1660.0000  2700.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C127       1730.0000  2440.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C128       2270.0000  2980.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C129       2200.0000  2525.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C130       1015.0000  2830.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C131       1870.0000  2830.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C132       2025.0000  3275.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C133       2125.0000  3250.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C134       1640.0000  3270.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C135       3150.0000  2650.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C136       3250.0000  2650.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C137       2985.0000  2095.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C138       3350.0000  2600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C139       3570.0000  2975.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C140       3150.0000  2700.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C141       2425.0000  2700.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C142       3725.0000  2960.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C143       3600.0000  2500.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C144       4275.0000  2025.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C145       4495.0000  3935.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C146       3655.0000  3295.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C147       3740.0000  3255.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C148       3255.0000  3300.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C149       2400.0000  2625.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C150       2500.0000  2625.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C151       2380.0000  2215.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C152       2625.0000  2575.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C153       2655.0000  2985.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C154       1950.0000  4775.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C155       1600.0000  3925.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C156       3000.0000  2780.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C157       2860.0000  2540.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C158       4225.0000  3250.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C159       4225.0000  3650.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C160       2850.0000  3275.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C161       2950.0000  3255.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C162       2450.0000  3275.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C163       4700.0000  4050.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C164       4175.0000  2025.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C165       4150.0000  4000.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C166       4125.0000  3250.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C167       3575.0000  4675.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C168       3750.0000  3475.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C169       4125.0000  3650.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C170       4475.0000  2025.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C171       1420.0000  2115.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
