Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 465000  Y 315000
X 455000  Y 315000
X 448000  Y 299500
X 442000  Y 291000
X 422000  Y 254500
X 402408  Y 299864
X 390329  Y 299290
X 386466  Y 290127
X 350449  Y 319548
X 309121  Y 250809
X 262500  Y 275500
X 259500  Y 275500
X 237646  Y 319850
X 234497  Y 319850
X 231347  Y 319850
X 228197  Y 319850
X 225000  Y 319900
X 221898  Y 319850
X 215599  Y 319850
X 212449  Y 319850
X 209300  Y 319850
X 206150  Y 319850
X 203001  Y 319850
X 199851  Y 319850
X 168500  Y 336000
X 168500  Y 333000
X 199700  Y 323000
X 199851  Y 329299
X 199851  Y 326149
X 199851  Y 332448
X 199851  Y 335598
X 199851  Y 341897
X 199851  Y 345047
X 203000  Y 345000
X 203001  Y 329299
X 203001  Y 323000
X 203001  Y 341897
X 203001  Y 335598
X 203001  Y 332448
X 203001  Y 326149
X 206100  Y 335600
X 206100  Y 332400
X 206149  Y 341899
X 206150  Y 323000
X 206150  Y 326149
X 206150  Y 345047
X 206200  Y 329400
X 209300  Y 323000
X 209300  Y 329299
X 209300  Y 326149
X 209300  Y 345047
X 209300  Y 341897
X 209300  Y 335598
X 209300  Y 332448
X 212449  Y 326148
X 212449  Y 323000
X 212449  Y 329299
X 214949  Y 337548
X 215599  Y 323000
X 215599  Y 326149
X 215600  Y 329300
X 221898  Y 322878
X 221898  Y 326278
X 221900  Y 329300
X 224949  Y 326248
X 225048  Y 323000
X 225048  Y 329299
X 228197  Y 323000
X 228197  Y 329299
X 228197  Y 326149
X 228197  Y 341897
X 228197  Y 335598
X 228249  Y 345098
X 228249  Y 332397
X 231249  Y 329397
X 231347  Y 323000
X 231347  Y 326149
X 231347  Y 335598
X 231347  Y 345047
X 231347  Y 332448
X 231397  Y 341948
X 234497  Y 329299
X 234497  Y 323000
X 234497  Y 345047
X 234497  Y 341897
X 234497  Y 332448
X 234497  Y 335598
X 237500  Y 332500
X 237646  Y 329299
X 237646  Y 323000
X 237646  Y 345047
X 240849  Y 332648
X 263000  Y 331000
X 270000  Y 334500
X 276500  Y 333000
X 350449  Y 327697
X 353899  Y 326148
X 354051  Y 329449
X 354051  Y 323150
X 354051  Y 332599
X 354051  Y 335748
X 354051  Y 338898
X 354051  Y 345197
X 357201  Y 326300
X 357201  Y 323150
X 357201  Y 329449
X 357201  Y 345197
X 357201  Y 338898
X 357201  Y 335748
X 357201  Y 332599
X 360349  Y 332597
X 360350  Y 323150
X 360350  Y 326300
X 360350  Y 338898
X 360350  Y 335748
X 360350  Y 329449
X 360549  Y 344999
X 363500  Y 329449
X 363500  Y 323150
X 363500  Y 326300
X 363500  Y 345197
X 363500  Y 338898
X 363500  Y 335748
X 363500  Y 332599
X 366600  Y 322800
X 366649  Y 326300
X 366649  Y 332599
X 366749  Y 329548
X 369799  Y 323150
X 369799  Y 329449
X 369799  Y 326300
X 369799  Y 332599
X 370200  Y 340400
X 371500  Y 342600
X 376098  Y 323150
X 376098  Y 326300
X 376098  Y 332599
X 376098  Y 329449
X 379049  Y 329648
X 379248  Y 326300
X 379248  Y 323150
X 379248  Y 332599
X 382397  Y 329449
X 382397  Y 326300
X 382397  Y 323150
X 382397  Y 345197
X 382397  Y 338898
X 382397  Y 332599
X 382449  Y 335697
X 385547  Y 329449
X 385547  Y 323150
X 385547  Y 338898
X 385547  Y 326300
X 385547  Y 335748
X 385549  Y 345199
X 385600  Y 332600
X 388500  Y 333000
X 388697  Y 338898
X 388697  Y 345197
X 388697  Y 335748
X 388697  Y 326300
X 388697  Y 323150
X 391500  Y 336000
X 391846  Y 323150
X 391846  Y 332599
