Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 2532479  Y 1202913
X 2540353  Y 1203307
X 2548227  Y 1202913
X 2556102  Y 1203307
X 2572046  Y 1202913
X 2579920  Y 1203307
X 2587794  Y 1202913
X 2595668  Y 1203307
X 2603542  Y 1202913
X 2611416  Y 1203307
X 2619290  Y 1202913
X 2627164  Y 1203307
X 2635038  Y 1202913
X 2642913  Y 1203307
X 2642913  Y 1208818
X 2642913  Y 1214330
X 2642913  Y 1219842
X 2642913  Y 1225354
X 2635038  Y 1208425
X 2635038  Y 1213936
X 2635038  Y 1219448
X 2635038  Y 1224960
X 2627164  Y 1208818
X 2627164  Y 1214330
X 2627164  Y 1219842
X 2627164  Y 1225354
X 2619290  Y 1208425
X 2619290  Y 1213936
X 2619290  Y 1219448
X 2619290  Y 1224960
X 2611416  Y 1208818
X 2611416  Y 1214330
X 2611416  Y 1219842
X 2611416  Y 1225354
X 2603542  Y 1208425
X 2603542  Y 1213936
X 2603542  Y 1219448
X 2603542  Y 1224960
X 2595668  Y 1208818
X 2595668  Y 1214330
X 2595668  Y 1219842
X 2595668  Y 1225354
X 2587794  Y 1208425
X 2587794  Y 1213936
X 2587794  Y 1219448
X 2587794  Y 1224960
X 2579920  Y 1208818
X 2579920  Y 1214330
X 2579920  Y 1219842
X 2579920  Y 1225354
X 2572046  Y 1208425
X 2572046  Y 1213936
X 2572046  Y 1219448
X 2572046  Y 1224960
X 2556102  Y 1208818
X 2556102  Y 1214330
X 2556102  Y 1219842
X 2556102  Y 1225354
X 2548227  Y 1208425
X 2548227  Y 1213936
X 2548227  Y 1219448
X 2548227  Y 1224960
X 2540353  Y 1208818
X 2540353  Y 1214330
X 2540353  Y 1219842
X 2540353  Y 1225354
X 2532479  Y 1208425
X 2532479  Y 1213936
X 2532479  Y 1219448
X 2532479  Y 1224960
X 2524605  Y 1208818
X 2524605  Y 1214330
X 2524605  Y 1219842
X 2524605  Y 1225354
X 2516731  Y 1208425
X 2516731  Y 1213936
X 2516731  Y 1219448
X 2516731  Y 1224960
X 2508857  Y 1208818
X 2508857  Y 1214330
X 2508857  Y 1219842
X 2508857  Y 1225354
X 2500983  Y 1208425
X 2500983  Y 1213936
X 2500983  Y 1219448
X 2500983  Y 1224960
X 2493109  Y 1208818
X 2493109  Y 1214330
X 2493109  Y 1219842
X 2493109  Y 1225354
X 2485235  Y 1208425
X 2485235  Y 1213936
X 2485235  Y 1219448
X 2485235  Y 1224960
X 2357283  Y 1208818
X 2357283  Y 1214330
X 2357283  Y 1219842
X 2357283  Y 1225354
X 2349408  Y 1208425
X 2349408  Y 1213936
X 2349408  Y 1219448
X 2349408  Y 1224960
X 2341534  Y 1208818
X 2341534  Y 1214330
X 2341534  Y 1219842
X 2341534  Y 1225354
X 2333660  Y 1208425
X 2333660  Y 1213936
X 2333660  Y 1219448
X 2333660  Y 1224960
X 2325786  Y 1208818
X 2325786  Y 1214330
X 2325786  Y 1219842
X 2325786  Y 1225354
X 2317912  Y 1208425
X 2317912  Y 1213936
X 2317912  Y 1219448
X 2317912  Y 1224960
X 2310038  Y 1208818
X 2310038  Y 1214330
X 2310038  Y 1219842
X 2310038  Y 1225354
X 2302164  Y 1208425
X 2302164  Y 1213936
X 2302164  Y 1219448
X 2302164  Y 1224960
X 2294290  Y 1208818
X 2294290  Y 1214330
X 2294290  Y 1219842
X 2294290  Y 1225354
X 2286416  Y 1208425
X 2286416  Y 1213936
X 2286416  Y 1219448
X 2286416  Y 1224960
X 2270472  Y 1208818
X 2270472  Y 1214330
X 2270472  Y 1219842
X 2270472  Y 1225354
X 2262597  Y 1208425
X 2262597  Y 1213936
X 2262597  Y 1219448
X 2262597  Y 1224960
X 2254723  Y 1208818
X 2254723  Y 1214330
X 2254723  Y 1219842
X 2254723  Y 1225354
X 2246849  Y 1208425
X 2246849  Y 1213936
X 2246849  Y 1219448
X 2246849  Y 1224960
X 2238975  Y 1208818
X 2238975  Y 1214330
X 2238975  Y 1219842
X 2238975  Y 1225354
X 2231101  Y 1208425
X 2231101  Y 1213936
X 2231101  Y 1219448
X 2231101  Y 1224960
X 2223227  Y 1208818
X 2223227  Y 1214330
X 2223227  Y 1219842
X 2223227  Y 1225354
X 2215353  Y 1208425
X 2215353  Y 1213936
X 2215353  Y 1219448
X 2215353  Y 1224960
X 2207479  Y 1208818
X 2207479  Y 1214330
X 2207479  Y 1219842
X 2207479  Y 1225354
X 2199605  Y 1208425
X 2199605  Y 1213936
X 2199605  Y 1219448
X 2199605  Y 1224960
X 2071654  Y 1208818
X 2071654  Y 1214330
X 2071654  Y 1219842
X 2071654  Y 1225354
X 2063779  Y 1208425
X 2063779  Y 1213936
X 2063779  Y 1219448
X 2063779  Y 1224960
X 2055905  Y 1208818
X 2055905  Y 1214330
X 2055905  Y 1219842
X 2055905  Y 1225354
X 2048031  Y 1208425
X 2048031  Y 1213936
X 2048031  Y 1219448
X 2048031  Y 1224960
X 2040157  Y 1208818
X 2040157  Y 1214330
X 2040157  Y 1219842
X 2040157  Y 1225354
X 2032283  Y 1208425
X 2032283  Y 1213936
X 2032283  Y 1219448
X 2032283  Y 1224960
X 2024409  Y 1208818
X 2024409  Y 1214330
X 2024409  Y 1219842
X 2024409  Y 1225354
X 2016535  Y 1208425
X 2016535  Y 1213936
X 2016535  Y 1219448
X 2016535  Y 1224960
X 2008661  Y 1208818
X 2008661  Y 1214330
X 2008661  Y 1219842
X 2008661  Y 1225354
X 2000787  Y 1208425
X 2000787  Y 1213936
X 2000787  Y 1219448
X 2000787  Y 1224960
X 1984843  Y 1208818
X 1984843  Y 1214330
X 1984843  Y 1219842
X 1984843  Y 1225354
X 1976968  Y 1208425
X 1976968  Y 1213936
X 1976968  Y 1219448
X 1976968  Y 1224960
X 1969094  Y 1208818
X 1969094  Y 1214330
X 1969094  Y 1219842
X 1969094  Y 1225354
X 1961220  Y 1213936
X 1961220  Y 1208425
X 1961220  Y 1219448
X 1961220  Y 1224960
X 1953346  Y 1214330
X 1953346  Y 1219842
X 1953346  Y 1208818
X 1953346  Y 1225354
X 1945472  Y 1219448
X 1945472  Y 1213936
X 1945472  Y 1224960
X 1945472  Y 1208425
X 1937598  Y 1214330
X 1937598  Y 1208818
X 1937598  Y 1225354
X 1937598  Y 1219842
X 1929724  Y 1208425
X 1929724  Y 1219448
X 1929724  Y 1224960
X 1929724  Y 1213936
X 1921850  Y 1208818
X 1921850  Y 1214330
X 1921850  Y 1219842
X 1921850  Y 1225354
X 1913976  Y 1208425
X 1913976  Y 1213936
X 1913976  Y 1219448
X 1913976  Y 1224960
X 1786024  Y 1208818
X 1786024  Y 1214330
X 1786024  Y 1219842
X 1786024  Y 1225354
X 1778149  Y 1208425
X 1778149  Y 1213936
X 1778149  Y 1219448
X 1778149  Y 1224960
X 1770275  Y 1208818
X 1770275  Y 1214330
X 1770275  Y 1219842
X 1770275  Y 1225354
X 1762401  Y 1208425
X 1762401  Y 1213936
X 1762401  Y 1219448
X 1762401  Y 1224960
X 1754527  Y 1208818
X 1754527  Y 1214330
X 1754527  Y 1219842
X 1754527  Y 1225354
X 1746653  Y 1208425
X 1746653  Y 1213936
X 1746653  Y 1219448
X 1746653  Y 1224960
X 1738779  Y 1208818
X 1738779  Y 1214330
X 1738779  Y 1219842
X 1738779  Y 1225354
X 1730905  Y 1208425
X 1730905  Y 1213936
X 1730905  Y 1219448
X 1730905  Y 1224960
X 1723031  Y 1208818
X 1723031  Y 1214330
X 1723031  Y 1219842
X 1723031  Y 1225354
X 1715157  Y 1208425
X 1715157  Y 1213936
X 1715157  Y 1219448
X 1715157  Y 1224960
X 1699213  Y 1225354
X 1699213  Y 1214330
X 1699213  Y 1219842
X 1699213  Y 1208818
X 1691338  Y 1224960
X 1691338  Y 1213936
X 1691338  Y 1219448
X 1691338  Y 1208425
X 1683464  Y 1219842
X 1683464  Y 1208818
X 1683464  Y 1214330
X 1683464  Y 1225354
X 1675590  Y 1208425
X 1675590  Y 1219448
X 1675590  Y 1213936
X 1675590  Y 1224960
X 1667716  Y 1219842
X 1667716  Y 1214330
X 1667716  Y 1208818
X 1667716  Y 1225354
X 1659842  Y 1213936
X 1659842  Y 1219448
X 1659842  Y 1224960
X 1659842  Y 1208425
X 1651968  Y 1208818
X 1651968  Y 1214330
X 1651968  Y 1219842
X 1651968  Y 1225354
X 1644094  Y 1208425
X 1644094  Y 1219448
X 1644094  Y 1213936
X 1644094  Y 1224960
X 1636220  Y 1219842
X 1636220  Y 1208818
X 1636220  Y 1214330
X 1636220  Y 1225354
X 1628346  Y 1224960
X 1628346  Y 1208425
