Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1335606  Y 1214992
X 1338755  Y 1214992
X 1338755  Y 1211842
X 1341905  Y 1211842
X 1341905  Y 1214992
X 1345055  Y 1214992
X 1345055  Y 1211842
X 1200448  Y 1263039
X 1200448  Y 1269338
X 1200448  Y 1272488
X 1200350  Y 1275539
X 1200350  Y 1278688
X 1197200  Y 1263137
X 1197200  Y 1275539
X 1197200  Y 1269240
X 1197200  Y 1272389
X 1197200  Y 1278688
X 1194149  Y 1275637
X 1194051  Y 1263137
X 1194051  Y 1272389
X 1188000  Y 1281188
X 1187948  Y 1263137
X 1187850  Y 1278787
X 1184799  Y 1263137
X 1184700  Y 1272488
X 1184700  Y 1275637
X 1184700  Y 1278787
X 1184700  Y 1269338
X 1181649  Y 1263137
X 1181551  Y 1278787
X 1181551  Y 1272488
X 1181551  Y 1269338
X 1181551  Y 1275637
X 1143956  Y 1277598
X 1143858  Y 1274547
X 1143858  Y 1271594
X 1140905  Y 1277500
X 1140905  Y 1271594
X 1140905  Y 1268641
X 1140905  Y 1262736
X 1140900  Y 1274588
X 1137952  Y 1277500
X 1137952  Y 1274547
X 1137952  Y 1271594
X 1137952  Y 1268641
X 1137952  Y 1262736
X 1132047  Y 1277500
X 1132047  Y 1271594
X 1132047  Y 1274547
X 1132047  Y 1262736
X 1132047  Y 1268641
X 1129094  Y 1277500
X 1129094  Y 1271594
X 1129094  Y 1262736
X 1129094  Y 1268641
X 1126141  Y 1271594
X 1126141  Y 1274547
X 1126000  Y 1277598
X 1091358  Y 1274547
X 1091358  Y 1271594
X 1088405  Y 1271594
X 1088405  Y 1268641
X 1088405  Y 1277500
X 1088405  Y 1274547
X 1088405  Y 1262736
X 1085452  Y 1274547
X 1085452  Y 1268641
X 1085452  Y 1262736
X 1085452  Y 1271594
X 1085400  Y 1277588
X 1079547  Y 1277500
X 1079547  Y 1271594
X 1079547  Y 1274547
X 1079547  Y 1262736
X 1076596  Y 1277500
X 1076594  Y 1262736
X 1076594  Y 1268641
X 1076594  Y 1271594
X 1073641  Y 1274547
X 1073641  Y 1271594
X 1073641  Y 1277500

Drill: .01  Tool: 2  Feed: 95  Speed: 300
X 1043400  Y 1033788
X 1051100  Y 1031588
X 1058300  Y 1030688
X 1061000  Y 1048388
X 1064600  Y 1038788
X 1065500  Y 1045188
X 1065500  Y 1048188
X 1065800  Y 1055388
X 1066900  Y 1052688
X 1069400  Y 1057188
X 1070000  Y 1034900
X 1070400  Y 1028688
X 1072000  Y 1040688
X 1073600  Y 1027088
X 1077000  Y 1024500
X 1083100  Y 1035100
X 1084000  Y 1060688
X 1085000  Y 1032100
X 1085000  Y 1057688
X 1085500  Y 1052688
X 1086800  Y 1040488
X 1087000  Y 1061300
X 1088600  Y 1037500
