*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C173   CAP_100NF_50V_0603:0603                    C173   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C174   CAP_100NF_50V_0603:0603                    C174   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C175   CAP_100NF_50V_0603:0603                    C175   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C176   CAP_100NF_50V_0603:0603                    C176   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C177   CAP_100NF_50V_0603:0603                    C177   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C178   CAP_100NF_50V_0603:0603                    C178   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C179   CAP_100NF_50V_0603:0603                    C179   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C18   CAP_100NF_50V_0603:0603                     C18   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C180   CAP_100NF_50V_0603:0603                    C180   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C181   CAP_100NF_50V_0603:0603                    C181   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C182   CAP_100NF_50V_0603:0603                    C182   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C183   CAP_100NF_50V_0603:0603                    C183   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C19   CAP_100NF_50V_0603:0603                     C19   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C196   CAP_100NF_50V_0603:0603                    C196   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C20   CAP_100NF_50V_0603:0603                     C20   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C200   CAP_100NF_50V_0603:0603                    C200   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C202   CAP_100NF_50V_0603:0603                    C202   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C203   CAP_100NF_50V_0603:0603                    C203   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C204   CAP_100NF_50V_0603:0603                    C204   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C205   CAP_100NF_50V_0603:0603                    C205   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C21   CAP_100NF_50V_0603:0603                     C21   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C210   CAP_100NF_50V_0603:0603                    C210   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C211   CAP_100NF_50V_0603:0603                    C211   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C212   CAP_100NF_50V_0603:0603                    C212   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C213   CAP_100NF_50V_0603:0603                    C213   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
