Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1062893  Y 1235495
X 1078641  Y 1235495
X 1070767  Y 1235102
X 1078641  Y 1229984
X 1062893  Y 1229984
X 1070767  Y 1229590
X 1078641  Y 1224472
X 1062893  Y 1224472
X 1070767  Y 1224078
X 1078641  Y 1218960
X 1062893  Y 1218960
X 1070767  Y 1218566
X 1078641  Y 1213448
X 1062893  Y 1213448
X 1070767  Y 1213054
X 1078641  Y 1207936
X 1062893  Y 1207936
X 1070767  Y 1207543
X 1062893  Y 1202425
X 1078641  Y 1202425
X 1070767  Y 1202031
X 1086515  Y 1202031
X 1102263  Y 1202031
X 1094389  Y 1202425
X 1102263  Y 1207543
X 1086515  Y 1207543
X 1094389  Y 1207936
X 1102263  Y 1213054
X 1086515  Y 1213054
X 1094389  Y 1213448
X 1086515  Y 1218566
X 1102263  Y 1218566
X 1094389  Y 1218960
X 1102263  Y 1224078
X 1086515  Y 1224078
X 1094389  Y 1224472
X 1102263  Y 1229590
X 1086515  Y 1229590
X 1094389  Y 1229984
X 1102263  Y 1235102
X 1086515  Y 1235102
X 1094389  Y 1235495
X 1086515  Y 1240613
X 1102263  Y 1240613
X 1094389  Y 1241007
X 1102263  Y 1246125
X 1086515  Y 1246125
X 1094389  Y 1246519
X 1102263  Y 1251637
X 1086515  Y 1251637
X 1094389  Y 1252031
X 1086515  Y 1257149
X 1102263  Y 1257149
X 1094389  Y 1257543
X 1102263  Y 1262661
X 1086515  Y 1262661
X 1094389  Y 1263054
X 1086515  Y 1268173
X 1102263  Y 1268173
X 1094389  Y 1268566
X 1086515  Y 1273684
X 1102263  Y 1273684
X 1094389  Y 1274078
X 1086515  Y 1279196
X 1102263  Y 1279196
X 1094389  Y 1279590
X 1125886  Y 1279590
X 1110137  Y 1279590
X 1118011  Y 1279196
X 1125886  Y 1274078
X 1110137  Y 1274078
X 1118011  Y 1273684
X 1125886  Y 1268566
X 1110137  Y 1268566
X 1118011  Y 1268173
X 1125886  Y 1263054
X 1110137  Y 1263054
X 1118011  Y 1262661
X 1125886  Y 1257543
X 1110137  Y 1257543
X 1118011  Y 1257149
X 1125886  Y 1252031
X 1110137  Y 1252031
X 1118011  Y 1251637
X 1110137  Y 1246519
X 1125886  Y 1246519
X 1118011  Y 1246125
X 1125886  Y 1241007
X 1110137  Y 1241007
X 1118011  Y 1240613
X 1110137  Y 1235495
X 1125886  Y 1235495
X 1118011  Y 1235102
X 1110137  Y 1229984
X 1125886  Y 1229984
X 1118011  Y 1229590
X 1110137  Y 1224472
X 1125886  Y 1224472
X 1118011  Y 1224078
X 1110137  Y 1218960
X 1125886  Y 1218960
X 1118011  Y 1218566
X 1110137  Y 1213448
X 1125886  Y 1213448
X 1118011  Y 1213054
X 1110137  Y 1207936
X 1125886  Y 1207936
X 1118011  Y 1207543
X 1125886  Y 1202425
X 1110137  Y 1202425
X 1118011  Y 1202031
X 1157578  Y 1202031
X 1141830  Y 1202031
X 1149704  Y 1202425
X 1141830  Y 1207543
X 1157578  Y 1207543
X 1149704  Y 1207937
X 1141830  Y 1213055
X 1157578  Y 1213055
X 1149704  Y 1213448
X 1141830  Y 1218566
X 1157578  Y 1218566
X 1149704  Y 1218960
X 1141830  Y 1224078
X 1157578  Y 1224078
X 1149704  Y 1224472
X 1141830  Y 1229590
X 1157578  Y 1229590
X 1149704  Y 1229984
X 1141830  Y 1235102
X 1157578  Y 1235102
X 1149704  Y 1235496
X 1141830  Y 1240614
X 1157578  Y 1240614
X 1149704  Y 1241007
X 1141830  Y 1246125
X 1157578  Y 1246125
X 1149704  Y 1246519
X 1141830  Y 1251637
X 1157578  Y 1251637
X 1149704  Y 1252031
X 1141830  Y 1257149
X 1157578  Y 1257149
X 1149704  Y 1257543
X 1141830  Y 1262661
X 1157578  Y 1262661
X 1149704  Y 1263055
X 1141830  Y 1268173
X 1157578  Y 1268173
X 1149704  Y 1268566
X 1141830  Y 1273685
X 1157578  Y 1273685
X 1149704  Y 1274078
X 1141830  Y 1279196
X 1157578  Y 1279196
X 1149704  Y 1279590
X 1165452  Y 1279590
X 1181200  Y 1279590
X 1173326  Y 1279196
X 1165452  Y 1274078
X 1181200  Y 1274078
X 1173326  Y 1273685
X 1165452  Y 1268566
X 1181200  Y 1268566
X 1173326  Y 1268173
X 1181200  Y 1263055
X 1165452  Y 1263055
X 1173326  Y 1262661
X 1181200  Y 1257543
X 1165452  Y 1257543
X 1173326  Y 1257149
X 1181200  Y 1252031
X 1165452  Y 1252031
X 1173326  Y 1251637
X 1165452  Y 1246519
X 1181200  Y 1246519
X 1173326  Y 1246125
X 1165452  Y 1241007
X 1181200  Y 1241007
X 1173326  Y 1240614
X 1181200  Y 1235496
X 1165452  Y 1235496
X 1173326  Y 1235102
X 1181200  Y 1229984
X 1165452  Y 1229984
X 1173326  Y 1229590
X 1181200  Y 1224472
X 1165452  Y 1224472
X 1173326  Y 1224078
X 1181200  Y 1218960
X 1165452  Y 1218960
X 1173326  Y 1218566
X 1181200  Y 1213448
X 1165452  Y 1213448
X 1173326  Y 1213055
X 1165452  Y 1207937
X 1181200  Y 1207937
X 1173326  Y 1207543
X 1165452  Y 1202425
X 1181200  Y 1202425
X 1173326  Y 1202031
X 1204822  Y 1202031
X 1189074  Y 1202031
X 1196948  Y 1202425
X 1189074  Y 1207543
X 1204822  Y 1207543
X 1196948  Y 1207937
X 1189074  Y 1213055
X 1204822  Y 1213055
X 1196948  Y 1213448
X 1204822  Y 1218566
X 1189074  Y 1218566
X 1196948  Y 1218960
X 1204822  Y 1224078
X 1189074  Y 1224078
X 1196948  Y 1224472
X 1204822  Y 1229590
X 1189074  Y 1229590
X 1196948  Y 1229984
X 1189074  Y 1235102
X 1204822  Y 1235102
X 1196948  Y 1235496
X 1204822  Y 1240614
X 1189074  Y 1240614
X 1196948  Y 1241007
X 1204822  Y 1246125
X 1189074  Y 1246125
X 1196948  Y 1246519
X 1204822  Y 1251637
X 1189074  Y 1251637
X 1196948  Y 1252031
X 1189074  Y 1257149
X 1204822  Y 1257149
X 1196948  Y 1257543
X 1204822  Y 1262661
X 1189074  Y 1262661
X 1196948  Y 1263055
X 1204822  Y 1268173
X 1189074  Y 1268173
X 1196948  Y 1268566
X 1204822  Y 1273685
X 1189074  Y 1273685
X 1196948  Y 1274078
X 1204822  Y 1279196
X 1189074  Y 1279196
X 1196948  Y 1279590
X 1212696  Y 1279590
X 1212696  Y 1274078
X 1212696  Y 1268566
X 1212696  Y 1263055
X 1212696  Y 1257543
X 1212696  Y 1252031
X 1212696  Y 1246519
X 1212696  Y 1241007
X 1212696  Y 1235496
X 1212696  Y 1229984
X 1212696  Y 1224472
X 1212696  Y 1218960
X 1212696  Y 1213448
X 1212696  Y 1207937
X 1212696  Y 1202425

Drill: .02  Tool: 3  Feed: 197  Speed: 550
X 1042300  Y 1073600
X 1050600  Y 1073900
X 1031100  Y 1192800
X 1039000  Y 1193000
X 1032500  Y 1269000
X 1032500  Y 1278500
X 1042200  Y 1342100
X 1056000  Y 1344500
X 1088000  Y 1397500
X 1099500  Y 1397500
X 1123750  Y 1397500
X 1145000  Y 1397500
X 1114600  Y 1325600
X 1128200  Y 1325600
X 1092000  Y 1325600
X 1154500  Y 1325600
X 1143300  Y 1325600
X 1103600  Y 1325600
X 1147500  Y 1072300
X 1147500  Y 1058200
X 1167000  Y 1325600
X 1179400  Y 1325600
X 1233500  Y 1384300
X 1213900  Y 1387700
X 1234200  Y 1391500
X 1177500  Y 1397000
X 1164500  Y 1397000

Drill: .03937  Tool: 4  Feed: 197  Speed: 550
X 1018100  Y 1050500
X 1028100  Y 1050500
X 1018100  Y 1060500
X 1028100  Y 1060500
X 1028100  Y 1398100
X 1018100  Y 1398100
X 1028100  Y 1408100
X 1018100  Y 1408100
X 1239200  Y 1408100
X 1249200  Y 1408100
X 1239200  Y 1398100
X 1249200  Y 1398100
X 1249200  Y 1060500
X 1239200  Y 1060500
X 1249200  Y 1050500
X 1239200  Y 1050500

Drill: .04  Tool: 5  Feed: 139  Speed: 550
X 1063857  Y 1011826
X 1073857  Y 1011826
X 1083857  Y 1011826
X 1073857  Y 1021826
X 1063857  Y 1021826
X 1083857  Y 1021826
X 1063858  Y 1436174
X 1073858  Y 1436174
X 1083858  Y 1436174
X 1073858  Y 1446174
X 1063858  Y 1446174
X 1083858  Y 1446174
X 1093858  Y 1446174
X 1103858  Y 1446174
X 1113858  Y 1446174
X 1123858  Y 1446174
X 1133858  Y 1446174
X 1103858  Y 1436174
X 1113858  Y 1436174
X 1123858  Y 1436174
X 1133858  Y 1436174
X 1093858  Y 1436174
X 1133857  Y 1021826
X 1113857  Y 1021826
X 1093857  Y 1021826
X 1103857  Y 1021826
X 1123857  Y 1021826
X 1103857  Y 1011826
X 1113857  Y 1011826
X 1133857  Y 1011826
X 1123857  Y 1011826
X 1093857  Y 1011826
X 1143857  Y 1011826
X 1153857  Y 1011826
X 1163857  Y 1011826
X 1173857  Y 1011826
X 1183857  Y 1011826
X 1143857  Y 1021826
X 1163857  Y 1021826
X 1153857  Y 1021826
X 1173857  Y 1021826
X 1183857  Y 1021826
X 1143858  Y 1436174
X 1153858  Y 1436174
X 1163858  Y 1436174
X 1173858  Y 1436174
X 1183858  Y 1436174
X 1163858  Y 1446174
X 1143858  Y 1446174
X 1173858  Y 1446174
X 1153858  Y 1446174
X 1183858  Y 1446174
X 1193858  Y 1446174
X 1203858  Y 1446174
X 1193858  Y 1436174
X 1203858  Y 1436174
X 1203857  Y 1021826
X 1193857  Y 1021826
X 1203857  Y 1011826
X 1193857  Y 1011826

Drill: .12795  Tool: 6  Feed: 35  Speed: 794
X 1189453  Y 1080546

Drill: .21063  Tool: 7  Feed: 0  Speed: 0
X 1039371  Y 1164055
X 1228347  Y 1317598

End of Listing
