Drill Listing
=============
Drill: .012  Tool: 1  Feed: 0  Speed: 0
X 1214764  Y 1231653
X 1342716  Y 1214724
X 1342716  Y 1220236
X 1342716  Y 1225748
X 1342716  Y 1231259
X 1350590  Y 1215118
X 1350590  Y 1220629
X 1350590  Y 1226141
X 1350590  Y 1231653
X 1358464  Y 1220236
X 1358464  Y 1225748
X 1358464  Y 1231259
X 1358464  Y 1214724
X 1366338  Y 1220629
X 1366338  Y 1226141
X 1366338  Y 1231653
X 1366338  Y 1215118
X 1374212  Y 1220236
X 1374212  Y 1225748
X 1374212  Y 1231259
X 1374212  Y 1214724
X 1382086  Y 1226141
X 1382086  Y 1231653
X 1382086  Y 1220629
X 1382086  Y 1215118
X 1389960  Y 1225748
X 1389960  Y 1231259
X 1389960  Y 1214724
X 1389960  Y 1220236
X 1397834  Y 1231653
X 1397834  Y 1220629
X 1397834  Y 1226141
X 1397834  Y 1215118
X 1405708  Y 1220236
X 1405708  Y 1231259
X 1405708  Y 1214724
X 1405708  Y 1225748
X 1413582  Y 1215118
X 1413582  Y 1220629
X 1413582  Y 1226141
X 1413582  Y 1231653
X 1429527  Y 1214724
X 1429527  Y 1220236
X 1429527  Y 1225748
X 1429527  Y 1231259
X 1437401  Y 1215118
X 1437401  Y 1220629
X 1437401  Y 1226141
X 1437401  Y 1231653
X 1445275  Y 1220236
X 1445275  Y 1225748
X 1445275  Y 1231259
X 1445275  Y 1214724
X 1453149  Y 1220629
X 1453149  Y 1226141
X 1453149  Y 1231653
X 1453149  Y 1215118
X 1461023  Y 1220236
X 1461023  Y 1225748
X 1461023  Y 1231259
X 1461023  Y 1214724
X 1468897  Y 1226141
X 1468897  Y 1231653
X 1468897  Y 1220629
X 1468897  Y 1215118
X 1476771  Y 1225748
X 1476771  Y 1231259
X 1476771  Y 1214724
X 1476771  Y 1220236
X 1484645  Y 1231653
X 1484645  Y 1220629
X 1484645  Y 1226141
X 1484645  Y 1215118
X 1492520  Y 1220236
X 1492520  Y 1231259
X 1492520  Y 1214724
X 1492520  Y 1225748
X 1500394  Y 1215118
X 1500394  Y 1220629
X 1500394  Y 1226141
X 1500394  Y 1231653
X 1628346  Y 1214724
X 1628346  Y 1220236
X 1628346  Y 1225748
X 1628346  Y 1231259
X 1636220  Y 1215118
X 1636220  Y 1220629
X 1636220  Y 1226141
X 1636220  Y 1231653
X 1644094  Y 1220236
X 1644094  Y 1225748
X 1644094  Y 1231259
X 1644094  Y 1214724
X 1651968  Y 1220629
X 1651968  Y 1226141
X 1651968  Y 1231653
X 1651968  Y 1215118
X 1659842  Y 1220236
X 1659842  Y 1225748
X 1659842  Y 1231259
X 1659842  Y 1214724
X 1667716  Y 1226141
X 1667716  Y 1231653
X 1667716  Y 1220629
X 1667716  Y 1215118
X 1675590  Y 1225748
X 1675590  Y 1231259
