Drill Listing
=============
Drill: 15  Tool: 1  Feed: 0  Speed: 0
X 3840  Y 3500
X 3755  Y 3535
X 3840  Y 3550
X 3675  Y 3560
X 3840  Y 3600
X 3755  Y 3600
X 3740  Y 3645
X 3845  Y 3665
X 3695  Y 3700
X 3800  Y 3795
X 3715  Y 3915
X 3785  Y 4130
X 3730  Y 5345
X 3645  Y 5345
X 4350  Y 6085
X 4280  Y 5865
X 3935  Y 5675
X 4100  Y 5175
X 3955  Y 5175
X 4330  Y 3995
X 4175  Y 3995
X 3865  Y 3800
X 3965  Y 3625
X 3885  Y 3530
X 4010  Y 3475
X 3905  Y 3420
X 4010  Y 3375
X 4010  Y 3275
X 4245  Y 3125
X 3985  Y 3015
X 4020  Y 2995
X 3900  Y 2945
X 3945  Y 2935
X 4000  Y 2885
X 4250  Y 2665
X 4250  Y 2480
X 3890  Y 2455
X 4000  Y 2455
X 4135  Y 2450
X 4000  Y 2260
X 4100  Y 2260
X 3925  Y 2060
X 4260  Y 1560
X 3900  Y 1330
X 4150  Y 1145
X 4210  Y 1130
X 4825  Y 1140
X 4660  Y 1560
X 4625  Y 1900
X 4755  Y 2075
X 4755  Y 2175
X 4645  Y 2205
X 4670  Y 2287
X 4750  Y 2325
X 4400  Y 2380
X 4400  Y 2465
X 4510  Y 2467
X 4505  Y 2550
X 4505  Y 3430
X 4420  Y 3665
X 4780  Y 3680
X 4375  Y 3840
X 4680  Y 3900
X 4825  Y 4215
X 4465  Y 4910
X 4500  Y 5880
X 4400  Y 5880
X 4500  Y 5985
X 4400  Y 6025
X 4475  Y 6290
X 4925  Y 6260
X 5350  Y 6220
X 5310  Y 6010
X 5215  Y 5910
X 5150  Y 4475
X 5150  Y 4195
X 4980  Y 3625
X 4955  Y 3472
X 4980  Y 3305
X 5100  Y 3305
X 4870  Y 2720
X 5060  Y 2395
X 4935  Y 2325
X 5100  Y 1615
X 4925  Y 1585
X 5540  Y 2425
X 5445  Y 5750
X 5425  Y 6300

Drill: 34  Tool: 2  Feed: 200  Speed: 500
X 2800  Y 5875
X 2850  Y 5950
X 2800  Y 6025
X 2850  Y 6100
X 3050  Y 6100
X 2950  Y 6100
X 3350  Y 6100
X 3250  Y 6100
X 3150  Y 6100
