Item	Qty	Reference	Part Name	Manufacturer	Description	MFG P/N	CCC P/N	VALUE
406	1	R114	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
407	1	R116	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
408	1	R117	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
409	1	R118	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
410	1	R133	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L		4k7
411	1	R134	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
412	1	R135	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
413	1	R136	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
414	1	R137	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
415	1	R139	RES4K7-1-0603	Yageo	RES 4.70K OHM 1/10W 1% 0603 SMD	RC0603FR-074K7L	###	4k7
416	1	U10	S29AL008J70TFI010	Spansion	NOR FLASH, 70ns access time	S29AL008J70BFI02		S29AL008J70B
417	1	D2	SMBJ40	bourns	DIODE TVS 40V 600W UNI 5% SMD	SMBJ40A		SMBJ40
418	1	U12	SN74ALS1245/SO_0	TI	IC BUS TRANSCEIVER 8BIT 20TSSOP	SN74LVTH245APWR		SN74LVTH245A
419	1	U18	SN74ALS1245/SO_0	TI	IC BUS TRANSCEIVER 8BIT 20TSSOP	SN74LVTH245APWR		SN74LVTH245A
420	1	U26	SN74ALS1245/SO_0	TI	IC BUS TRANSCEIVER 8BIT 20TSSOP	SN74LVTH245APWR		SN74LVTH245A
421	1	U27	SN74ALS1245/SO_0	TI	IC BUS TRANSCEIVER 8BIT 20TSSOP	SN74LVTH245APWR		SN74LVTH245A
422	1	U83	SN74ALS1245/SO_0	TI	IC BUS TRANSCEIVER 8BIT 20TSSOP	SN74LVTH245APWR		SN74LVTH245A
423	1	U6	TEMP\AD3490	ANALOG DEVICES	IC TXRX RS-422/485 3.3V 8-SOIC	ADM3490ARZ		ADM3490
424	1	U5	TEMP\TMP36	ANALOG DEVICES	IC SENSOR TEMP 2.7/5.5 8SOIC	TMP36FSZ		TMP36
425	1	FD1	TESTPOINT		TEST POINT SMD			TestPoint
426	1	FD2	TESTPOINT		TEST POINT SMD			TestPoint
427	1	FD3	TESTPOINT		TEST POINT SMD			TestPoint
428	1	FD4	TESTPOINT		TEST POINT SMD			TestPoint
429	1	FD5	TESTPOINT		TEST POINT SMD			TestPoint
430	1	FD6	TESTPOINT		TEST POINT SMD			TestPoint
431	1	MH1	TESTPOINT		TEST POINT SMD			TestPoint
432	1	MH2	TESTPOINT		TEST POINT SMD			TestPoint
433	1	MH3	TESTPOINT		TEST POINT SMD			TestPoint
434	1	MH7	TESTPOINT		TEST POINT SMD			TestPoint
435	1	24V	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
436	1	6P5	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
437	1	ESC1_RX+(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
438	1	ESC1_RX-(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
439	1	ESC1_TX+(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
440	1	ESC1_TX-(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
441	1	ESC2_RX+(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
442	1	ESC2_RX-(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
443	1	ESC2_TX+(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
444	1	ESC2_TX-(1)	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
445	1	LA_TP1	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
446	1	LA_TP2	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
447	1	LA_TP3	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
448	1	LA_TP4	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
449	1	LA_TP5	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
450	1	LA_TP6	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
451	1	LA_TP7	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
452	1	LA_TP8	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
453	1	LA_TP9	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
454	1	LA_TP10	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
455	1	LA_TP11	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
456	1	LA_TP12	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
457	1	LA_TP13	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
458	1	MDO0	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
459	1	MPC3P3V	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
460	1	MPC5P0V	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
461	1	OPT1P5	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
462	1	SPIB_MISO	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
463	1	SPIB_MOSI	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
464	1	SPIB_SCK	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
465	1	SPIB_SEL	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
466	1	SPID_MISO1	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
467	1	SPID_MOSI1	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
468	1	SPID_SCK1	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
469	1	SPID_SEL1	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
470	1	TP1_CONN	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
471	1	TP1_GPIO	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
472	1	TP2_CONN	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
473	1	TP2_GPIO1	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
474	1	TP3_CONN	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
475	1	TP4_CONN	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
476	1	TP_RXD	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
477	1	TP_TXD	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
478	1	VDD1P5	TESTPOINT-LOOP-SM		C TEST POINT MINIATURE SMT			LABEL
479	1	U23	TPS54231	Texas Instruments	2A, Buck step down convertor	TPS54231DR		TPS54231
480	1	Y1	XTAL-24MHZ	Abracon Carporation	CRYSTAL 25.000 MHZ 10 PF SMD	ABM11-25.000MHZ-B7G-T	###	25MHz
481	1	Y3	XTAL-24MHZ	Abracon Carporation	CRYSTAL 25.000 MHZ 10 PF SMD	ABM11-25.000MHZ-B7G-T	###	25MHz
482	1	D13	ZENER-DIODE	Diodes Inc	DIODE SCHOTTKY 40V 2A SMA	B240A-13-F		B240A
