Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
440	1	R10	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
441	1	R11	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
442	1	R12	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
443	1	R16	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
444	1	R17	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
445	1	R18	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
446	1	R19	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
447	1	R20	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
448	1	R21	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
449	1	R22	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
450	1	R23	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
451	1	R24	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
452	1	R25	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
453	1	R26	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
454	1	R27	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
455	1	R32	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
456	1	R42	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
457	1	R50	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
458	1	R70	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
459	1	R71	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
460	1	R72	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
461	1	R73	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
462	1	R86	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
463	1	R87	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
464	1	R112	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
465	1	R114	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
466	1	R116	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
467	1	R117	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
