*PADS-ECO-V9.4-MILS*
*REMARK*  old file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV2.0.asc
*REMARK*  new file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV3.0.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/26/2012 3:46:36 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C170   CAP-0.01UF-6.3V-0402                       C170   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C171   CAP-0.01UF-6.3V-0402                       C171   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C178   CAP-0.01UF-6.3V-0402                       C178   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C180   CAP-0.01UF-6.3V-0402                       C180   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C30   CAP-0.01UF-6.3V-0402                        C30   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C32   CAP-0.01UF-6.3V-0402                        C32   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C40   CAP-0.01UF-6.3V-0402                        C40   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C8   CAP-0.01UF-6.3V-0402                         C8   CAP-0.01UF-16V-0402-10%-0402YC103KAT2A
C100   CAP-0.1UF-10V-0402                         C100   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C101   CAP-0.1UF-10V-0402                         C101   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C102   CAP-0.1UF-10V-0402                         C102   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C103   CAP-0.1UF-10V-0402                         C103   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C104   CAP-0.1UF-10V-0402                         C104   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C105   CAP-0.1UF-10V-0402                         C105   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C51   CAP-0.1UF-10V-0402                          C51   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C53   CAP-0.1UF-10V-0402                          C53   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C54   CAP-0.1UF-10V-0402                          C54   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C55   CAP-0.1UF-10V-0402                          C55   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C56   CAP-0.1UF-10V-0402                          C56   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C61   CAP-0.1UF-10V-0402                          C61   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C62   CAP-0.1UF-10V-0402                          C62   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C63   CAP-0.1UF-10V-0402                          C63   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C64   CAP-0.1UF-10V-0402                          C64   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C65   CAP-0.1UF-10V-0402                          C65   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C66   CAP-0.1UF-10V-0402                          C66   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C67   CAP-0.1UF-10V-0402                          C67   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C68   CAP-0.1UF-10V-0402                          C68   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C69   CAP-0.1UF-10V-0402                          C69   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C70   CAP-0.1UF-10V-0402                          C70   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C71   CAP-0.1UF-10V-0402                          C71   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C85   CAP-0.1UF-10V-0402                          C85   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C87   CAP-0.1UF-10V-0402                          C87   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C88   CAP-0.1UF-10V-0402                          C88   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C89   CAP-0.1UF-10V-0402                          C89   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C90   CAP-0.1UF-10V-0402                          C90   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C95   CAP-0.1UF-10V-0402                          C95   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C96   CAP-0.1UF-10V-0402                          C96   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C97   CAP-0.1UF-10V-0402                          C97   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C98   CAP-0.1UF-10V-0402                          C98   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C99   CAP-0.1UF-10V-0402                          C99   CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A
C153   CAP-1UF-50V-0603                           C153   CAP-1UF-50V-0603-10%-UMK107BJ105KA-T
C191   CAP-1UF-50V-0603                           C191   CAP-1UF-50V-0603-10%-UMK107BJ105KA-T
C193   CAP-1UF-50V-0603                           C193   CAP-1UF-50V-0603-10%-UMK107BJ105KA-T
C216   CAP-1UF-50V-0603                           C216   CAP-1UF-50V-0603-10%-UMK107BJ105KA-T
C3   CAP-1UF-50V-0603                             C3   CAP-1UF-50V-0603-10%-UMK107BJ105KA-T
C25   CAP-2200PF-50V-0603                         C25   CAP-2200PF-50V-0603-10%-GRM188R61H222KA#
C27   CAP-2200PF-50V-0603                         C27   CAP-2200PF-50V-0603-10%-GRM188R61H222KA#
C124   CAP-25V-1UF-805                            C124   CAP-1UF-50V-0805-10%-C0805C103K5RACTU
C15   CAP-25V-22UF-2312                           C15   CAP-22UF-25V-2312-10%-TPSC226K025R0275
